title,author_name,rating,ratings,year
A Princess in Theory,Alyssa Cole,3.78,14602,2018
The Statistical Probability of Love at First Sight,Jennifer E. Smith,3.77,113752,2012
Beautiful Creatures,Kami Garcia,3.76,578256,2009
The Ex Talk,Rachel Lynn Solomon,3.76,57761,2021
"To Sir Phillip, With Love",Julia Quinn,3.76,140654,2003
Shiver,Maggie Stiefvater,3.76,465220,2009
Under One Roof,Ali Hazelwood,3.75,69278,2022
Romeo and Juliet,William Shakespeare,3.74,2376465,1597
Neon Gods,Katee Robert,3.74,112532,2021
In a Holidaze,Christina Lauren,3.74,110076,2020
Paper Towns,John Green,3.74,1193459,2008
Fallen,Lauren Kate,3.72,553649,2009
Midnight Sun,Stephenie Meyer,3.72,194655,2020
Breaking Dawn,Stephenie Meyer,3.72,1544376,2008
After,K.A. Tucker,3.71,263884,2014
You Had Me at Hola,Alexis Daria,3.7,32398,2020
When Dimple Met Rishi,Sandhya Menon,3.69,52486,2017
The Heir,Kiera Cass,3.67,300177,2015
Fifty Shades of Grey,E.L. James,3.66,2327268,2011
Cruel Beauty,Rosamund Hodge,3.66,87119,2014
Shipped,Angie Hockman,3.66,51696,2021
The Crown,Kiera Cass,3.65,223841,2016
The Roommate,Rosie Danan,3.65,76613,2020
Fix Her Up,Tessa Bailey,3.65,93869,2019
Matched,Ally Condie,3.63,732124,2010
Allegiant,Veronica Roth,3.61,961821,2013
The Wedding Date,Jasmine Guillory,3.6,124943,2018
Second First Impressions,Sally  Thorne,3.59,60023,2021
New Moon,Stephenie Meyer,3.57,1734961,2006
The Ex Hex,Erin Sterling,3.55,93853,2021
Landline,Rainbow Rowell,3.54,161979,2014
The Proposal,Jane Austen,3.49,100627,2018
99 Percent Mine,Sally  Thorne,3.39,69346,2019
