title,author_name,rating,ratings,year
Love in the Afternoon,Lisa Kleypas,4.2,44436,2010
Once Burned,Jeaniene Frost,4.2,66290,2012
Night Pleasures,Sherrilyn Kenyon,4.19,77021,2002
Tears of the Moon,Nora Roberts,4.19,33160,2000
Kiss an Angel,Susan Elizabeth Phillips,4.19,58552,1996
Happy Ever After,Nora Roberts,4.18,57059,2010
Rules of Attraction,Simone Elkeles,4.18,86658,2010
Autoboyography,Christina Lauren,4.18,47602,2017
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.18,698006,2008
Dreaming of You,Lisa Kleypas,4.18,40674,1994
The Coincidence of Callie & Kayden,Jessica Sorensen,4.17,114624,2012
Key of Light,Nora Roberts,4.17,59041,2003
The Perfect Hope,Nora Roberts,4.17,43739,2012
Today Tonight Tomorrow,Rachel Lynn Solomon,4.17,45486,2020
Never Too Far,Abbi Glines,4.17,119168,2013
The Air He Breathes,Brittainy C. Cherry,4.17,57678,2015
Tempt Me at Twilight,Lisa Kleypas,4.17,41823,2009
Finding Cinderella,Colleen Hoover,4.16,87058,2013
Beautiful Stranger,Christina Lauren,4.16,86066,2013
Real,Katy Evans,4.16,106565,2013
The Longest Ride,Nicholas Sparks,4.16,127530,2012
Bossman,Vi Keeland,4.16,63756,2016
Fantasy Lover,Sherrilyn Kenyon,4.15,90374,2002
Natural Born Charmer,Susan Elizabeth Phillips,4.15,35013,2007
The Grand Sophy,Georgette Heyer,4.15,30755,1950
Never Seduce a Scot,Maya Banks,4.15,31542,2012
I'll Give You the Sun,Jandy Nelson,4.15,309331,2014
Married by Morning,Lisa Kleypas,4.14,39467,2010
North and South,Elizabeth Gaskell,4.14,158995,1854
Smooth Talking Stranger,Lisa Kleypas,4.14,39342,2009
Savor the Moment,Nora Roberts,4.14,55327,2010
Heaven and Earth,Nora Roberts,4.14,40486,2001
Days of Blood & Starlight,Laini Taylor,4.14,156341,2012
The Bodyguard,Katherine Center,4.13,46261,2022
Match Me If You Can,Susan Elizabeth Phillips,4.13,45324,2005
Perfection,R.L. Mathewson,4.13,64231,2011
Rule,Jay Crownover,4.12,97511,2012
Dead to the World,Charlaine Harris,4.12,253637,2004
Captivated by You,Sylvia Day,4.12,104998,2014
Still Me,Jojo Moyes,4.12,181067,2018
Bed of Roses,Nora Roberts,4.12,60829,2009
Naked in Death,J.D. Robb,4.12,181828,1995
Rubinrot,Kerstin Gier,4.12,138597,2009
A Hunger Like No Other,Kresley Cole,4.12,78645,2006
Cry Wolf,Patricia Briggs,4.12,97790,2008
The Next Always,Nora Roberts,4.12,79935,2011
A Week to Be Wicked,Tessa Dare,4.11,31300,2012
Lover Enshrined,J.R. Ward,4.11,113315,2008
On the Island,Tracey Garvis Graves,4.11,81213,2011
Marrying Winterborne,Lisa Kleypas,4.11,35087,2016
Stuck-Up Suit,Vi Keeland,4.1,65530,2016
The Dead Romantics,Ashley Poston,4.1,27054,2022
Ten Tiny Breaths,K.A. Tucker,4.1,76134,2012
Luna and the Lie,Mariana Zapata,4.1,43382,2018
Devil in Spring,Lisa Kleypas,4.09,34046,2017
Thoughtless,S.C. Stephens,4.09,138379,2012
Lord of Scoundrels,Loretta Chase,4.09,34076,1995
Dragon Bound,Thea Harrison,4.08,48193,2011
The Last Boyfriend,Nora Roberts,4.08,46691,2012
Heartless,Marissa Meyer,4.08,151923,2016
Lick,Kylie Scott,4.08,84934,2013
I Kissed Shara Wheeler,Casey McQuiston,4.07,36892,2022
Seduce Me at Sunrise,Lisa Kleypas,4.07,39570,2008
Do You Want to Start a Scandal,Tessa Dare,4.07,18892,2016
Shadow of Night,Deborah Harkness,4.07,219870,2012
Angels' Blood,Nalini Singh,4.07,87377,2009
When Beauty Tamed the Beast,Eloisa James,4.06,27254,2011
The Rose & the Dagger,Renée Ahdieh,4.06,85841,2016
The Raven Boys,Maggie Stiefvater,4.05,332644,2012
Just Listen,Sarah Dessen,4.05,243619,2006
Uprooted,Naomi Novik,4.05,209681,2015
The Darkest Night,Gena Showalter,4.05,82413,2008
The Madness of Lord Ian Mackenzie,Jennifer Ashley,4.05,35753,2009
Again the Magic,Lisa Kleypas,4.05,38636,2004
P.S. I Like You,Kasie West,4.05,54335,2016
The Lady's Guide to Celestial Mechanics,Olivia Waite,4.04,9945,2019
Any Duchess Will Do,Tessa Dare,4.04,23816,2013
Any Duchess Will Do,Tessa Dare,4.04,23816,2013
Along for the Ride,Sarah Dessen,4.04,200653,2009
Pandemonium,Lauren Oliver,4.04,231558,2012
A Promise of Fire,Amanda Bouchet,4.04,32350,2016
One Good Earl Deserves a Lover,Sarah MacLean,4.03,29368,2013
Norwegian Wood,Haruki Murakami,4.03,490161,1987
A Rogue of One's Own,Evie Dunmore,4.03,30188,2020
The Unbecoming of Mara Dyer,Michelle Hodkin,4.03,168341,2011
Things You Save in a Fire,Katherine Center,4.02,92697,2019
Never Never,Colleen Hoover,4.02,86589,2015
Virgin River,Robyn Carr,4.02,61829,2007
Club Dead,Charlaine Harris,4.01,230201,2003
It Had to Be You,Susan Elizabeth Phillips,4.01,64323,1994
Royally Screwed,Emma Chase,4.01,42073,2016
Only When It's Us,Chloe Liese,4.01,26179,2020
Sugar Daddy,Lisa Kleypas,4.01,42517,2007
Crescendo,Becca Fitzpatrick,4.0,307676,2010
Broken Prince,Erin Watt,4.0,85058,2016
Forbidden,Tabitha Suzuma,4.0,67402,2010
Under the Never Sky,Veronica Rossi,3.99,113454,2011
Ella Enchanted,Gail Carson Levine,3.99,403722,1997
"Alex, Approximately",Jenn Bennett,3.98,44969,2017
Wicked and the Wallflower,Sarah MacLean,3.98,17089,2018
Rhapsodic,Laura Thalassa,3.98,88341,2016
The Wedding,Nicholas Sparks,3.98,151092,2003
Under Locke,Mariana Zapata,3.98,70425,2014
The Hook Up,Kristen Callihan,3.97,53050,2014
The Sky Is Everywhere,Jandy Nelson,3.97,102011,2010
These Violent Delights,Chloe Gong,3.96,95723,2020
The Best of Me,Nicholas Sparks,3.96,161814,2010
Beyond the Highland Mist,Karen Marie Moning,3.96,69756,1999
Living Dead in Dallas,Charlaine Harris,3.96,245842,2002
The Kiss of Deception,Mary E. Pearson,3.96,116655,2014
Just Like Heaven,Julia Quinn,3.95,47800,2011
The Rogue Not Taken,Sarah MacLean,3.95,21806,2015
Like Water for Chocolate,Laura Esquivel,3.95,347670,1989
Dark Witch,Nora Roberts,3.95,60592,2013
One Plus One,Jojo Moyes,3.95,162582,2014
We'll Always Have Summer,Jenny Han,3.94,224027,2011
Something About You,Julie James,3.94,60302,2010
We'll Always Have Summer,Jenny Han,3.94,224027,2011
"Love, Rosie",Cecelia Ahern,3.94,122412,2004
Marriage for One,Ella Maise,3.93,60911,2019
Love in the Time of Cholera,Gabriel García Márquez,3.93,466520,1985
Geekerella,Ashley Poston,3.93,59104,2017
The Distance Between Us,Kasie West,3.92,75238,2013
Pucked,Helena Hunting,3.92,58892,2015
Atonement,Ian McEwan,3.92,485925,2001
Pestilence,Laura Thalassa,3.92,62447,2018
Warm Bodies,Isaac Marion,3.91,102702,2010
The Upside of Unrequited,Becky Albertalli,3.91,72060,2017
The Heiress Effect,Courtney Milan,3.91,14403,2013
The Fill-In Boyfriend,Kasie West,3.9,61519,2015
RoomHate,Penelope Ward,3.9,59673,2016
These Broken Stars,Amie Kaufman,3.9,68276,2013
The Secret Diaries of Miss Miranda Cheever,Julia Quinn,3.89,40314,2007
The Shadows Between Us,Tricia Levenseller,3.89,128699,2020
Grave Mercy,Robin LaFevers,3.89,104570,2012
Ayesha at Last,Uzma Jalaluddin,3.89,21810,2018
Undercover Bromance,Lyssa Kay Adams,3.89,37661,2020
Portrait of a Scotsman,Evie Dunmore,3.88,22701,2021
Ten Ways to Be Adored When Landing a Lord,Sarah MacLean,3.88,24842,2010
The Iron King,Julie Kagawa,3.88,207758,2010
A Night Like This,Julia Quinn,3.87,26914,2012
Bound by Honor,Cora Reilly,3.87,77006,2014
Don't You Forget About Me,Mhairi McFarlane,3.87,40746,2019
By Your Side,Kasie West,3.86,47582,2017
Breathe,Abbi Glines,3.85,82311,2011
Torment,Lauren Kate,3.85,226778,2010
Siege and Storm,Leigh Bardugo,3.85,486943,2013
The Undomestic Goddess,Sophie Kinsella,3.85,282087,2005
The Governess Affair,Courtney Milan,3.85,17261,2012
To Love Jason Thorn,Ella Maise,3.85,79607,2015
American Royals,Katharine McGee,3.84,94008,2019
Nights in Rodanthe,Nicholas Sparks,3.84,164417,2002
Evvie Drake Starts Over,Linda  Holmes,3.84,119436,2019
Beastly,Alex Flinn,3.83,174950,2007
The Trouble with Hating You,Sajni Patel,3.83,19351,2020
Say Yes to the Marquess,Tessa Dare,3.83,21080,2014
My Killer Vacation,Tessa Bailey,3.83,47186,2022
The Bookish Life of Nina Hill,Abbi Waxman,3.82,87372,2019
How to Fail at Flirting,Denise  Williams,3.82,24275,2020
Grey,E.L. James,3.81,167773,2015
Maybe in Another Life,Taylor Jenkins Reid,3.81,120415,2015
The Royal We,Heather Cocks,3.81,61552,2015
The DUFF: Designated Ugly Fat Friend,Kody Keplinger,3.81,190279,2010
To Kill a Kingdom,Alexandra Christo,3.8,136587,2018
The Marriage Bargain,Jennifer Probst,3.8,109486,2010
Remember Me?,Sophie Kinsella,3.8,240254,2008
Tools of Engagement,Tessa Bailey,3.79,36814,2020
The Wedding Party,Jasmine Guillory,3.78,44329,2019
You've Reached Sam,Dustin Thao,3.77,52535,2021
The Two Lives of Lydia Bird,Josie Silver,3.76,56854,2020
Dash & Lily's Book of Dares,Rachel Cohn,3.76,90591,2010
Dial A for Aunties,Jesse Q. Sutanto,3.76,58738,2021
The Cheat Sheet,Sarah       Adams,3.76,88916,2021
A Night to Surrender,Tessa Dare,3.75,24837,2011
Something Wilder,Christina Lauren,3.74,42112,2022
Dating Dr. Dil,Nisha Sharma,3.73,29881,2022
We Were Liars,E. Lockhart,3.73,919633,2014
After We Collided,Anna Todd,3.73,163476,2013
"Will Grayson, Will Grayson",John Green,3.72,378446,2010
Stuck with You,Ali Hazelwood,3.71,48423,2022
Let it Snow,John Green,3.71,136871,2008
Below Zero,Ali Hazelwood,3.71,38828,2022
Love Lettering,Kate Clayborn,3.7,39426,2019
Weather Girl,Rachel Lynn Solomon,3.69,25101,2022
Confessions of a Shopaholic,Sophie Kinsella,3.68,705542,2000
Credence,Penelope Douglas,3.68,102715,2020
Ice Planet Barbarians,Ruby Dixon,3.68,75411,2015
The Roughest Draft,Emily Wibberley,3.67,26355,2022
Emergency Contact,Mary H.K. Choi,3.67,38653,2018
Something to Talk About,Meryl Wilsner,3.66,19263,2020
The Dating Plan,Sara Desai,3.66,34929,2021
The Upside of Falling,Alex Light,3.65,63660,2020
The Right Swipe,Alisha Rai,3.65,21234,2019
The Road Trip,Beth O'Leary,3.61,63228,2021
Evermore,Alyson Noel,3.59,282408,2009
Austenland,Shannon Hale,3.55,86635,2007
Crossed,Ally Condie,3.52,234069,2011
Royal Holiday,Jasmine Guillory,3.5,35927,2019
