title,author_name,rating,ratings,year
Rock Chick,Kristen Ashley,4.17,56208,2008
The Wedding,Julie Garwood,4.16,33476,1995
Blood Brothers,Nora Roberts,4.16,52509,2007
Eliza and Her Monsters,Francesca Zappia,4.16,60125,2017
Love From A to Z,S.K. Ali,4.16,15600,2019
Born in Ice,Nora Roberts,4.16,36638,1995
Hani and Ishu's Guide to Fake Dating,Adiba Jaigirdar,4.15,21328,2021
Face the Fire,Nora Roberts,4.15,39714,2002
Heart of the Sea,Nora Roberts,4.15,30801,2000
Grin and Beard It,Penny Reid,4.14,27092,2016
Hate Notes,Vi Keeland,4.14,63594,2018
Moon Called,Patricia Briggs,4.14,196203,2006
Flock,Kate  Stewart,4.14,65945,2020
Chasing Cassandra,Lisa Kleypas,4.14,24023,2020
Finale,Becca Fitzpatrick,4.14,163162,2012
Morrigan's Cross,Nora Roberts,4.14,52998,2006
You Should See Me in a Crown,Leah  Johnson,4.13,36131,2020
Key of Valor,Nora Roberts,4.13,36182,2003
"Whitney, My Love",Judith McNaught,4.13,34654,1985
The Highlander's Touch,Karen Marie Moning,4.13,31955,2000
Checkmate,R.L. Mathewson,4.13,47848,2012
Dreams of Gods & Monsters,Laini Taylor,4.13,102978,2014
You Should See Me in a Crown,Leah  Johnson,4.13,36131,2020
Key of Knowledge,Nora Roberts,4.12,36506,2003
Pretty Reckless,L.J. Shen,4.12,56819,2019
Be with Me,Jennifer L. Armentrout,4.12,46763,2014
Venetia,Georgette Heyer,4.11,16407,1958
Fire,Kristin Cashore,4.1,177298,2009
The Winner's Crime,Marie Rutkoski,4.1,62529,2015
Born in Shame,Nora Roberts,4.1,34165,1996
This Heart of Mine,Lisa Kleypas,4.09,30843,2001
Since You've Been Gone,Morgan Matson,4.09,109598,2014
Chain Reaction,Simone Elkeles,4.09,62409,2011
Counting Down with You,Tashie Bhuiyan,4.09,15123,2021
Boyfriend Material,Alexis  Hall,4.09,81106,2020
Cotillion,Georgette Heyer,4.08,15398,1953
Devil's Bride,Stephanie Laurens,4.08,20804,1998
Sorcery of Thorns,Margaret  Rogerson,4.08,96114,2019
Red Lily,Nora Roberts,4.08,38459,2005
Visions of Heat,Nalini Singh,4.08,38315,2007
In Flight,R.K. Lilley,4.08,76825,2012
Seduction and Snacks,Tara Sivec,4.07,52342,2012
Isn't It Bromantic?,Lyssa Kay Adams,4.07,20046,2021
A Lot like Love,Julie James,4.07,31866,2011
The Other Boleyn Girl,Philippa Gregory,4.07,482030,2001
Perfect on Paper,Sophie Gonzales,4.07,21852,2021
The Winter King,C.L. Wilson,4.07,18752,2014
The Other Boleyn Girl,Philippa Gregory,4.07,482030,2001
Carolina Moon,Nora Roberts,4.07,43099,2000
The Play,Elle Kennedy,4.07,59152,2019
The Suffragette Scandal,Courtney Milan,4.06,8335,2014
Hello Stranger,Lisa Kleypas,4.06,23454,2018
Stepbrother Dearest,Penelope Ward,4.06,66152,2014
Magic Bites,Ilona Andrews,4.05,117960,2007
All Together Dead,Charlaine Harris,4.05,195863,2007
Beauty: A Retelling of the Story of Beauty and the Beast,Robin McKinley,4.05,77679,1978
"Heaven, Texas",Susan Elizabeth Phillips,4.05,33014,1995
Always Only You,Chloe Liese,4.05,24067,2020
Tell Me Three Things,Julie Buxbaum,4.05,70824,2016
Pleasure Unbound,Larissa Ione,4.04,53139,2008
On the Edge,Ilona Andrews,4.04,42672,2009
About That Night,Julie James,4.04,24376,2012
Just Last Night,Mhairi McFarlane,4.04,31666,2021
A Marvellous Light,Freya Marske,4.03,16806,2021
Deep,Kylie Scott,4.03,38619,2015
On the Fence,Kasie West,4.03,57713,2014
The Other Miss Bridgerton,Julia Quinn,4.02,27367,2018
Love Unscripted,Tina Reber,4.02,67961,2010
Northern Lights,Nora Roberts,4.02,43218,2004
If the Shoe Fits,Julie   Murphy,4.02,24503,2021
From Dead to Worse,Charlaine Harris,4.01,183532,2008
Unearthly,Cynthia Hand,4.01,126498,2011
Definitely Dead,Charlaine Harris,4.01,198979,2006
The American Roommate Experiment,Elena  Armas,4.01,23341,2022
Starry Eyes,Jenn Bennett,4.01,26572,2018
Midnight Sun [2008 Draft],Stephenie Meyer,4.01,149452,2008
Dead and Gone,Charlaine Harris,4.01,183547,2009
Backstage Pass,Olivia Cunning,4.0,60233,2010
Eleven Scandals to Start to Win a Duke's Heart,Sarah MacLean,4.0,26960,2011
Lock and Key,Sarah Dessen,4.0,147313,2008
Idol,Kristen Callihan,4.0,33894,2016
The Problem with Forever,Jennifer L. Armentrout,4.0,52500,2016
The Secret of Ella and Micha,Jessica Sorensen,3.99,70471,2012
After I Do,Taylor Jenkins Reid,3.99,74312,2014
Flat-Out Love,Jessica Park,3.99,58622,2011
Dark Prince,Christine Feehan,3.99,55659,1999
Ten Things I Love About You,Julia Quinn,3.99,24867,2010
The Last Letter from Your Lover,Jojo Moyes,3.99,109017,2008
Only Mostly Devastated,Sophie Gonzales,3.99,23451,2020
In Bed with a Highlander,Maya Banks,3.98,33404,2011
Fangirl,Rainbow Rowell,3.98,695972,2013
Flipped,Wendelin Van Draanen,3.97,109473,2001
Never Judge a Lady by Her Cover,Sarah MacLean,3.96,19315,2014
The Year We Fell Down,Sarina Bowen,3.96,28236,2014
Friends Without Benefits,Penny Reid,3.96,26016,2013
The Girl He Used to Know,Tracey Garvis Graves,3.96,42169,2019
Tokyo Ever After,Emiko Jean,3.96,31215,2021
Kingdom of the Wicked,Kerri Maniscalco,3.96,148866,2020
Practice Makes Perfect,Julie James,3.96,31107,2009
The Raven Prince,Elizabeth Hoyt,3.95,22313,2006
The Vincent Boys,Abbi Glines,3.95,73664,2011
A Midsummer Night's Dream,William Shakespeare,3.95,498829,1595
Dear Aaron,Mariana Zapata,3.95,40646,2017
The Girl with the Make-Believe Husband,Julia Quinn,3.94,31086,2017
Welcome to Temptation,Jennifer Crusie,3.94,33011,2000
Twisted Palace,Erin Watt,3.93,67980,2016
Knight,Kristen Ashley,3.92,53672,2012
Until Friday Night,Abbi Glines,3.92,55583,2015
Kiss of Midnight,Lara Adrian,3.92,64186,2007
The Countess Conspiracy,Courtney Milan,3.92,11711,2013
All the Feels,Olivia Dade,3.92,15136,2021
Rush,Maya Banks,3.91,75310,2013
Turtles All the Way Down,John Green,3.91,475614,2017
Brutal Prince,Sophie Lark,3.9,59077,2020
XOXO,Axie Oh,3.9,16609,2021
The No-Show,Beth O'Leary,3.9,35240,2022
A Room with a View,E.M. Forster,3.9,169459,1908
Dead in the Family,Charlaine Harris,3.89,158836,2010
A Kiss for Midwinter,Courtney Milan,3.88,9569,2012
Throttled,Lauren Asher,3.88,67884,2020
Ricochet,Krista Ritchie,3.88,48742,2013
Well Matched,(Editor/Contributer),3.87,18109,2021
Act Like It,Lucy  Parker,3.87,10804,2015
The Light We Lost,Jill Santopolo,3.87,131246,2017
A Lady by Midnight,Tessa Dare,3.87,18785,2012
Love & Other Disasters,Anita Kelly,3.87,11166,2022
A Wallflower Christmas,Lisa Kleypas,3.87,24035,2008
Hang the Moon,Alexandria Bellefleur,3.86,10989,2021
Maybe Not,Colleen Hoover,3.86,76362,2014
Hearts in Darkness,Laura Kaye,3.85,36815,2011
This Time Next Year,Sophie Cousens,3.85,71158,2020
The Iron Duke,Meljean Brook,3.84,16737,2010
At First Sight,Nicholas Sparks,3.84,84338,2004
The Bookshop on the Corner,Jenny Colgan,3.84,73591,2016
China Rich Girlfriend,Kevin Kwan,3.84,188682,2015
After We Fell,Anna Todd,3.83,125212,2014
"I'd Tell You I Love You, But Then I'd Have to Kill You",Ally Carter,3.83,185180,2006
The Boy Next Door,Meg Cabot,3.82,66285,2002
Wicked Intentions,Elizabeth Hoyt,3.82,18073,2010
Boy Meets Boy,David Levithan,3.82,72807,2003
True Believer,Nicholas Sparks,3.81,84084,2003
A Kiss at Midnight,Eloisa James,3.8,19209,2010
The Princess Diaries,Meg Cabot,3.8,247084,2000
A Deal with the Elf King,Elise Kova,3.77,61780,2020
Across the Universe,Beth Revis,3.77,117352,2011
Royals,Rachel Hawkins,3.77,22774,2018
Someone to Watch Over Me,Jen DeLuca,3.77,21345,1998
While We Were Dating,Jasmine Guillory,3.76,29416,2021
Priest,Sierra Simone,3.76,58593,2015
Holding Up the Universe,Jennifer Niven,3.76,105375,2016
Pride,Ibi Zoboi,3.75,25057,2018
Mr. Wrong Number,Lynn Painter,3.75,30262,2022
Frankly in Love,David  Yoon,3.75,26164,2019
Layla,Colleen Hoover,3.75,198655,2020
A Scot in the Dark,Sarah MacLean,3.74,14277,2016
The Wisteria Society of Lady Scoundrels,India Holton,3.74,15428,2021
The Lost Duke of Wyndham,Julia Quinn,3.74,22186,2008
Girl Gone Viral,Alisha Rai,3.72,10713,2020
Would Like to Meet,Rachel Winters,3.72,19515,2019
The Siren,Kiera Cass,3.72,76367,2009
The Intimacy Experiment,Rosie Danan,3.71,15730,2021
A Pho Love Story,Loan Le,3.71,15200,2021
Nick & Norah's Infinite Playlist,Rachel Cohn,3.7,83459,2006
"Pride, Prejudice, and Other Flavors",Sonali Dev,3.69,15208,2019
Payback's a Witch,Lana  Harper,3.69,15882,2021
Wicked Lovely,Melissa Marr,3.69,162190,2007
This Is What Happy Looks Like,Jennifer E. Smith,3.67,50009,2013
My True Love Gave to Me: Twelve Holiday Stories,Stephanie Perkins,3.67,39069,2014
The Bridges of Madison County,Robert James Waller,3.66,89660,1992
The Secrets of Sir Richard Kenworthy,Julia Quinn,3.66,18785,2015
Dating You / Hating You,Christina Lauren,3.63,27840,2017
Eligible: A Modern Retelling of Pride & Prejudice,Curtis Sittenfeld,3.6,83519,2016
Good Girl Complex,Elle Kennedy,3.6,39196,2022
"Beautiful World, Where Are You",Sally Rooney,3.59,250892,2021
The Boyfriend Project,Farrah Rochon,3.58,14233,2020
The Tourist Attraction,Sarah Morgenthaler,3.56,24886,2020
Reached,Ally Condie,3.55,157531,2012
Desperate Measures,Katee Robert,3.55,27506,2019
The Marriage Game,Sara Desai,3.53,14635,2020
